timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-17 06:13:15,Try learning Alphabet using iPad The Alphabet Book ABC on iBooks httpstcoJ8FeFURY8D,joonoopenstory,"[u'Alphabet', u'iBooks']",4044
2020-02-17 05:55:14,“Stick to your true north― build greatness for the long term” ―Ruth Porat CFO  Alphabet womeninbusiness   👉httpstco8f67bXRDqC  MondayMotivaton motivation motivational women quoteoftheday quotes business Alphabet GreatestQuotes QuoteBeauties wordstionary httpstco2Djt8YyL4v,Excellon_DMS,"[u'womeninbusiness', u'MondayMotivaton', u'motivation', u'motivational', u'women', u'quoteoftheday', u'quotes', u'business', u'Alphabet']",470
2020-02-17 05:55:06,How to write down the letter a httpstcoGvBecntWh5 Learningmole education English alphabet letters phonics,LearningMole,"[u'Learningmole', u'education', u'English', u'alphabet', u'letters', u'phonics']",2435
2020-02-17 05:27:00,Win an Engaging Storybooks for Toddlers Prize Pk Preschoolers will learn through sensory flipflap and board books pausitiveliving RaincoastBooks Can 35 httpstcoHNdkid3Z1u alphabet httpstcoAq5oz6bpG5,pausitiveliving,"[u'Win', u'alphabet']",20523
2020-02-17 05:20:01,From JohnDorfman Alphabet heads list of Balance Sheet Powerhouses httpstco6xgwCzHv7D httpstcochdEksz1gN,OWHnews,[u'Alphabet'],146910
2020-02-17 03:13:22,🔍GoogleTrax – Your Path to Advanced Deep Learning httpstcoiotXF0eznN google GOOG GOOGL alphabet TechNews tech google digitaltransformation httpstcoyVW2aVgsze,sjoerdapp,"[u'google', u'alphabet', u'TechNews', u'tech', u'digitaltransformation']",1988
2020-02-17 02:13:31,🔍Google ditches its free WiFi service in South Africa – three months after launch httpstco0Z9fQsddTO google GOOG GOOGL alphabet TechNews tech google digitaltransformation httpstco6jMLeoBX2F,sjoerdapp,"[u'google', u'alphabet', u'TechNews', u'tech', u'digitaltransformation']",1988
2020-02-17 02:13:27,🔍Google to Samsung Stop messing with Linux kernel code Its hurting Android httpstco7BxJZXzc7O google GOOG GOOGL alphabet TechNews tech google digitaltransformation httpstcoryHOa9hLza,sjoerdapp,"[u'google', u'alphabet', u'TechNews', u'tech', u'digitaltransformation']",1988
2020-02-17 01:14:42,Sensory Play through the Alphabet AZ httpstconouVGK0O5L sensoryplay,BestToddlerToys,"[u'Alphabet', u'sensoryplay']",5276
2020-02-16 23:55:10,SidewalkToronto theeyeopener For the unfamiliar sidewalklabs is an urban planning and innovation company owned by Alphabet Google’s parent In 2017 Sidewalk submitted a successful proposal to redevelop the longneglected Quayside 12 acres of formerly industrial land in TOs eastern waterfront,shua_scott,"[u'Alphabet', u'Quayside']",109
2020-02-16 23:03:38,🏆Language Your Way team have won a number of awards during the course of our journey The most recent award being The Best Early Childhood Literacy App 2019  See them all 👇🏼 httpstcoxJOIJWpQ0M   ABCQuest Awards EdTechAwards GamesForKids kids literacy Alphabet app httpstco1xyBON4X4v,LanguageYW,"[u'ABCQuest', u'Awards', u'EdTechAwards', u'GamesForKids', u'kids', u'literacy', u'Alphabet', u'app']",83
2020-02-16 22:12:54,dbongino Social media is run by democratic money alphabet bezo twitter facebookportal amazon,InLivingColor6,"[u'alphabet', u'bezo', u'twitter', u'facebookportal', u'amazon']",10
2020-02-16 21:15:38,Letters Sensory Bin httpstcoUichzDQBlN alphabet sensorybag,BestToddlerToys,"[u'alphabet', u'sensorybag']",5276
2020-02-16 21:05:10,I know that nobody gives a sh but I personally don‘t think that elonmusk will sell Tesla to Alphabet now that a lot of problems from 2019 seem fixed Eg mod 3 production building factories on other continents development of autopilot and fsd chip development I wouldn‘t,St3phanSieber,[u'Alphabet'],66
